mysql: [Warning] Using a password on the command line interface can be insecure.
migration_name	started_at	finished_at
20260827000000_expand_artifact_content	2026-09-15 07:40:26.141	2026-09-15 07:40:26.180
20260828000000_integration_channels	2026-09-15 07:40:26.182	2026-09-15 07:40:26.283
20260829000000_split_channels_notifications	2026-09-15 07:40:26.285	2026-09-15 07:40:26.681
20260901000000_team_refactor_expand	2026-09-15 07:40:26.683	2026-09-15 07:40:27.398
20260901000001_private_channel_team_member	2026-09-15 07:40:27.399	2026-09-15 07:40:27.599
20260901000002_add_task_reset_after_complete	2026-09-15 07:40:27.602	2026-09-15 07:40:27.649
20260901000003_add_team_main_agent	2026-09-15 07:40:27.651	2026-09-15 07:40:27.752
20260901000004_fix_team_group_unique	2026-09-15 07:40:27.754	2026-09-15 07:40:27.834
20260904000000_team_execution_context	2026-09-15 07:40:27.836	2026-09-15 07:40:28.487
20260907000000_drop_project_dimension	2026-09-15 07:40:28.490	2026-09-15 07:40:28.812
20260907000001_drop_task_agent_domain	2026-09-15 07:40:28.815	2026-09-15 07:40:28.919
20260908000000_add_team_member_override_model	2026-09-15 07:40:28.922	2026-09-15 07:40:28.961
20260908000001_team_channel_bindings	2026-09-15 07:40:28.962	2026-09-15 07:40:29.030
20260911000000_add_member_opencode_agent	2026-09-15 07:40:29.033	2026-09-15 07:40:29.076
20260912000000_add_task_plan_mode	2026-09-15 07:40:29.080	2026-09-15 07:40:29.145
20260913000000_drop_agent_tool_effects_permission_scope	2026-09-15 07:40:29.147	2026-09-15 07:40:29.211
20260914000000_add_agent_key	2026-09-15 07:40:29.214	2026-09-15 07:40:29.291
20260915000000_add_skill_versions	2026-09-15 07:40:29.293	2026-09-15 07:40:29.395
20260915000001_add_memory_content_hash	2026-09-15 07:40:29.397	2026-09-15 07:40:29.461
20260916000000_add_message_receipts	2026-09-16 03:20:35.039	2026-09-16 03:20:35.108
20260916000000_add_plan_confirm_columns	2026-09-16 03:20:35.111	2026-09-16 03:20:35.310
20260917000000_add_plan_finalize_columns	2026-09-16 06:02:23.039	2026-09-16 06:02:23.154
20260918000000_add_plan_frozen_columns	2026-09-16 06:02:23.157	2026-09-16 06:02:23.205
20260916000001_add_timers	2026-09-16 07:19:15.845	2026-09-16 07:19:15.931
20260919000000_add_artifact_category	2026-09-16 14:42:44.686	2026-09-16 14:42:44.941
20260919000001_rename_timers_to_triggers	2026-09-17 02:12:30.419	2026-09-17 02:12:30.812
20260919000002_session_last_activity_at	2026-09-17 02:27:15.715	2026-09-17 02:27:15.998
20260919000003_agent_hooks	2026-09-17 03:00:48.367	2026-09-17 03:00:48.573
20260919000004_hook_guardrails	2026-09-17 03:29:55.656	2026-09-17 03:29:55.955
20260919000005_reply_join_receipt_idx	2026-09-17 08:21:53.863	2026-09-17 08:21:54.121
20260919000006_backfill_builtin_policy_allowlists	2026-09-18 14:48:35.165	2026-09-18 14:48:35.250
20260919000007_add_agent_roles_and_member_role_id	2026-09-19 06:26:48.375	2026-09-19 06:26:49.040
20260919000008_populate_builtin_role_prompts	2026-09-19 07:50:06.421	2026-09-19 07:50:06.469
20260919000009_backfill_split_agent_prompts	2026-09-19 09:19:50.653	2026-09-19 09:19:50.672
20260919000010_drop_agents_role	2026-09-19 23:14:54.023	2026-09-19 23:14:54.096
x
--- not-finished ---
